what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1240540266365
opened,view,jp.eisbahn.eclipse.plugins.osde,0.2.2,jp.eisbahn.eclipse.plugins.osde.internal.views.PersonView,1240540266553
opened,view,jp.eisbahn.eclipse.plugins.osde,0.2.2,jp.eisbahn.eclipse.plugins.osde.internal.views.UserPrefsView,1240540266637
activated,perspective,jp.eisbahn.eclipse.plugins.osde,0.2.2,jp.eisbahn.eclipse.plugins.osde.perspective,1240540266696
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1240540266869
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.perspectives.showPerspective,1240540266898
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.perspectives.showPerspective,1240540266898
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1240540283743
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1240540283744
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540287067
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.1.R34x_v20080808-1156,org.eclipse.equinox.p2.updatesite,1240540293897
started,bundle,org.eclipse.ecf.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.filetransfer,1240540293925
started,bundle,org.eclipse.ecf.provider.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.provider.filetransfer,1240540293925
started,bundle,org.eclipse.ecf.identity,2.0.0.v20080611-1715,org.eclipse.ecf.identity,1240540293974
started,bundle,org.eclipse.ecf,2.0.0.v20080611-1715,org.eclipse.ecf,1240540293982
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540325310
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20081029,org.eclipse.equinox.p2.ui.sdk.update,1240540325402
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540327453
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540416467
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540421350
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1240540430145
started,bundle,org.eclipse.wst.sse.core,1.1.303.v200901290024,org.eclipse.wst.sse.core,1240540517200
started,bundle,org.eclipse.wst.sse.ui,1.1.4.v200901202345,org.eclipse.wst.sse.ui,1240540517211
started,bundle,org.eclipse.wst.xml.core,1.1.307.v200812040936,org.eclipse.wst.xml.core,1240540518032
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,org.eclipse.wst.common.uriresolver,1240540518290
