what,kind,bundleId,bundleVersion,description,time
activated,editor,jp.eisbahn.eclipse.plugins.osde,0.2.2,jp.eisbahn.eclipse.plugins.osde.editors.GadgetXmlEditor,1240540560478
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540562776
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540570144
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1240540630581
activated,editor,jp.eisbahn.eclipse.plugins.osde,0.2.2,jp.eisbahn.eclipse.plugins.osde.editors.GadgetXmlEditor,1240540632651
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1240540633480
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540633726
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540634671
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540638201
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540640292
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540642796
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540644914
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540645077
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540647676
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1240540647953
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540648394
started,bundle,org.eclipse.jdt.launching.macosx,3.1.100.v20080422,org.eclipse.jdt.launching.macosx,1240540648449
activated,view,jp.eisbahn.eclipse.plugins.osde,0.2.2,jp.eisbahn.eclipse.plugins.osde.internal.views.PersonView,1240540650972
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1240540658225
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540658896
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1240540659332
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1240540659487
activated,editor,jp.eisbahn.eclipse.plugins.osde,0.2.2,jp.eisbahn.eclipse.plugins.osde.editors.GadgetXmlEditor,1240540680480
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1240540686859
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540688387
